id,claim_id,book_name,chunk_id,chapter_id,chunk_pos,time_bucket,retrieval_stage,score_vec,score_lex,score_rerank,score_lex_norm,rank,is_disjoint,run_id
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w0616,ch000,0.39367,MID,BM25,,11.290988625746039,,0.7395771284738317,5,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1413,ch000,0.9067,LATE,BM25,,11.201442439056033,,0.7271089708854881,6,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w0842,ch000,0.538628,MID,BM25,,11.060323540088167,,0.7074599748080115,7,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1151,ch000,0.737144,LATE,BM25,,10.99257189782414,,0.6980264278995172,8,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1079,ch000,0.691294,LATE,BM25,,10.890849367662891,,0.6838628707094593,9,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w0192,ch000,0.123188,EARLY,BM25,,10.258883028292212,,0.5958696662966383,10,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w0705,ch000,0.450604,MID,BM25,,10.170000901530692,,0.5834939705332199,11,True,run_20260201_223201
104,104_c02,The Count of Monte Cristo,montecristo_ch000_w1083,ch000,0.693804,LATE,BM25,,9.881009746846955,,0.5432556600989868,12,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0422,ch000,0.907348,LATE,BM25,,23.161082309596903,,1.0,1,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0298,ch000,0.642586,MID,BM25,,18.470590124853988,,0.6857342896401483,2,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0019,ch000,0.042533,EARLY,BM25,,17.098765283311604,,0.5938212256510569,3,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0297,ch000,0.640441,MID,BM25,,16.775313728433453,,0.5721497829416065,4,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0436,ch000,0.937428,LATE,BM25,,16.65169897287215,,0.563867522266747,5,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0421,ch000,0.905168,LATE,BM25,,15.772355135754687,,0.5049509726301924,6,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0198,ch000,0.427229,MID,BM25,,15.758018174437014,,0.503990387865217,7,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0425,ch000,0.913816,LATE,BM25,,15.352100915792613,,0.47679369493602963,8,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0435,ch000,0.935303,LATE,BM25,,15.242855680905643,,0.4694742005220198,9,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0426,ch000,0.916,LATE,BM25,,15.190246277293754,,0.4659493398151887,10,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0041,ch000,0.088841,EARLY,BM25,,15.144934952375827,,0.46291345463473854,11,True,run_20260201_223201
35,35_c01,In search of the castaways,castaways_ch000_w0231,ch000,0.497991,MID,BM25,,15.044127081729734,,0.45615926854281674,12,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0422,ch000,0.907348,LATE,BM25,,20.784743613630795,,1.0,1,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0294,ch000,0.633978,MID,BM25,,18.495896389494106,,0.8311464205766846,2,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0312,ch000,0.67228,LATE,BM25,,17.311601218408946,,0.7437782132875752,3,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0298,ch000,0.642586,MID,BM25,,17.2868287843852,,0.7419506932539849,4,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0421,ch000,0.905168,LATE,BM25,,15.739847065877694,,0.6278262564117885,5,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0287,ch000,0.618904,MID,BM25,,15.6171929449083,,0.6187777768373101,6,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0198,ch000,0.427229,MID,BM25,,14.6647005756392,,0.5485102009901958,7,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0426,ch000,0.916,LATE,BM25,,14.374622692020035,,0.527110481321658,8,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0309,ch000,0.665961,LATE,BM25,,14.362357402272979,,0.5262056423902455,9,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0313,ch000,0.67441,LATE,BM25,,14.15761924603687,,0.51110163275586,10,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0297,ch000,0.640441,MID,BM25,,14.148945832097894,,0.5104617748509845,11,True,run_20260201_223201
35,35_c02,In search of the castaways,castaways_ch000_w0425,ch000,0.913816,LATE,BM25,,13.384236916495643,,0.45404742082389776,12,True,run_20260201_223201
35,35_c03,In search of the castaways,castaways_ch000_w0422,ch000,0.907348,LATE,BM25,,20.274287098490916,,1.0,1,True,run_20260201_223201
35,35_c03,In search of the castaways,castaways_ch000_w0298,ch000,0.642586,MID,BM25,,18.78604627901137,,0.8841157424783305,2,True,run_20260201_223201
35,35_c03,In search of the castaways,castaways_ch000_w0421,ch000,0.905168,LATE,BM25,,18.660496650657688,,0.8743396193714693,3,True,run_20260201_223201
35,35_c03,In search of the castaways,castaways_ch000_w0312,ch000,0.67228,LATE,BM25,,15.716711417875574,,0.6451170624176088,4,True,run_20260201_223201
35,35_c03,In search of the castaways,castaways_ch000_w0198,ch000,0.427229,MID,BM25,,15.232765453950751,,0.6074338340207092,5,True,run_20260201_223201
35,35_c03,In search of the castaways,castaways_ch000_w0287,ch000,0.618904,MID,BM25,,14.5331234095209,,0.5529550844873844,6,True,run_20260201_223201
