id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,backend,K,candidate_pool,max_per_chapter,enforce_buckets,run_id
16,16_c01,In search of the castaways,12,2,6,test,bm25,12,80,12,False,run_20260225_221138
16,16_c02,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
30,30_c01,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
30,30_c02,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
30,30_c03,In search of the castaways,12,3,7,test,bm25,12,80,12,False,run_20260225_221138
30,30_c04,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
97,97_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
97,97_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
22,22_c01,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
22,22_c02,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
22,22_c03,In search of the castaways,12,3,9,test,bm25,12,80,12,False,run_20260225_221138
53,53_c01,In search of the castaways,12,2,5,test,bm25,12,80,12,False,run_20260225_221138
53,53_c02,In search of the castaways,12,3,11,test,bm25,12,80,12,False,run_20260225_221138
53,53_c03,In search of the castaways,12,3,6,test,bm25,12,80,12,False,run_20260225_221138
58,58_c01,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
58,58_c02,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
58,58_c03,In search of the castaways,12,3,8,test,bm25,12,80,12,False,run_20260225_221138
81,81_c01,In search of the castaways,12,1,5,test,bm25,12,80,12,False,run_20260225_221138
81,81_c02,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
81,81_c03,In search of the castaways,12,1,4,test,bm25,12,80,12,False,run_20260225_221138
81,81_c04,In search of the castaways,12,1,5,test,bm25,12,80,12,False,run_20260225_221138
47,47_c01,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
47,47_c02,In search of the castaways,12,1,6,test,bm25,12,80,12,False,run_20260225_221138
7,7_c01,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
7,7_c02,In search of the castaways,12,3,7,test,bm25,12,80,12,False,run_20260225_221138
7,7_c03,In search of the castaways,12,2,7,test,bm25,12,80,12,False,run_20260225_221138
121,121_c01,The Count of Monte Cristo,12,2,2,test,bm25,12,80,12,False,run_20260225_221138
121,121_c02,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
129,129_c01,The Count of Monte Cristo,12,3,2,test,bm25,12,80,12,False,run_20260225_221138
51,51_c01,In search of the castaways,12,2,8,test,bm25,12,80,12,False,run_20260225_221138
51,51_c02,In search of the castaways,12,2,10,test,bm25,12,80,12,False,run_20260225_221138
127,127_c01,The Count of Monte Cristo,12,1,2,test,bm25,12,80,12,False,run_20260225_221138
