id,claim_id,book_name,k_found,buckets_covered,unique_chapters,split,run_id
23,23_c03,In search of the castaways,12,2,1,train,run_20260112_111511
90,90_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
90,90_c02,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
100,100_c01,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
100,100_c02,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
138,138_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
138,138_c02,The Count of Monte Cristo,12,2,1,train,run_20260112_111511
138,138_c03,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
130,130_c01,The Count of Monte Cristo,12,3,1,train,run_20260112_111511
48,48_c01,In search of the castaways,12,3,1,train,run_20260112_111511
48,48_c02,In search of the castaways,12,3,1,train,run_20260112_111511
95,95_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
95,95_c02,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
95,95_c03,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
136,136_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
136,136_c02,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
59,59_c01,In search of the castaways,12,3,1,test,run_20260112_111511
59,59_c02,In search of the castaways,12,3,1,test,run_20260112_111511
60,60_c01,In search of the castaways,12,3,1,test,run_20260112_111511
60,60_c02,In search of the castaways,12,3,1,test,run_20260112_111511
124,124_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
111,111_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
135,135_c01,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
135,135_c02,The Count of Monte Cristo,12,2,1,test,run_20260112_111511
135,135_c03,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
27,27_c01,In search of the castaways,12,2,1,test,run_20260112_111511
27,27_c02,In search of the castaways,12,3,1,test,run_20260112_111511
110,110_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
110,110_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
110,110_c03,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
42,42_c01,In search of the castaways,12,3,1,test,run_20260112_111511
42,42_c02,In search of the castaways,12,3,1,test,run_20260112_111511
42,42_c03,In search of the castaways,12,3,1,test,run_20260112_111511
56,56_c01,In search of the castaways,12,2,1,test,run_20260112_111511
56,56_c02,In search of the castaways,12,3,1,test,run_20260112_111511
80,80_c01,In search of the castaways,12,1,1,test,run_20260112_111511
80,80_c02,In search of the castaways,12,1,1,test,run_20260112_111511
80,80_c03,In search of the castaways,12,1,1,test,run_20260112_111511
80,80_c04,In search of the castaways,12,1,1,test,run_20260112_111511
80,80_c05,In search of the castaways,12,1,1,test,run_20260112_111511
80,80_c06,In search of the castaways,12,1,1,test,run_20260112_111511
28,28_c01,In search of the castaways,12,3,1,test,run_20260112_111511
28,28_c02,In search of the castaways,12,3,1,test,run_20260112_111511
28,28_c03,In search of the castaways,12,3,1,test,run_20260112_111511
28,28_c04,In search of the castaways,12,3,1,test,run_20260112_111511
101,101_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
101,101_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
91,91_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
91,91_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
91,91_c03,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
24,24_c01,In search of the castaways,12,2,1,test,run_20260112_111511
24,24_c02,In search of the castaways,12,3,1,test,run_20260112_111511
119,119_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
119,119_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
93,93_c01,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
93,93_c02,The Count of Monte Cristo,12,3,1,test,run_20260112_111511
72,72_c01,In search of the castaways,12,1,1,test,run_20260112_111511
72,72_c02,In search of the castaways,12,1,1,test,run_20260112_111511
16,16_c01,In search of the castaways,12,3,1,test,run_20260112_111511
16,16_c02,In search of the castaways,12,3,1,test,run_20260112_111511
30,30_c01,In search of the castaways,12,2,1,test,run_20260112_111511
30,30_c02,In search of the castaways,12,3,1,test,run_20260112_111511
